,count,mean,std,min,25%,50%,75%,max
R_basementsqft,90149.0,713.1948737100502,251.32431471642008,-382.83629975599735,542.3455288718526,713.7116195906144,882.6639772023136,1848.3438721917785
R_bathroomcnt,90149.0,2.2795372106179768,1.0041355355761419,0.0,2.0,2.0,3.0,20.0
R_bedroomcnt,90149.0,3.0319249242920057,1.1561156361328027,0.0,2.0,3.0,4.0,16.0
R_calculatedbathnbr,90149.0,2.3092076251258074,0.9704101398810272,1.0,2.0,2.0,3.0,20.0
R_finishedfloor1squarefeet,90149.0,1349.0379539366097,267.1228341343759,44.0,1199.0,1346.1371107365667,1490.8689951701622,7625.0
R_calculatedfinishedsquarefeet,90149.0,1773.1364673328108,925.115617371698,2.0,1187.0,1544.0,2092.0,22741.0
R_finishedsquarefeet12,90149.0,1745.3636838998532,888.4947367645524,2.0,1189.0,1540.0,2038.0,20013.0
R_finishedsquarefeet13,90149.0,1404.0958646099696,115.52368432114788,925.836336078786,1326.5121041380817,1404.4902047135863,1482.04894341054,1930.3348461191508
R_finishedsquarefeet15,90149.0,2380.458998276847,394.38481300152495,560.0,2139.885154629231,2377.163521214269,2612.4562719625014,22741.0
R_finishedsquarefeet50,90149.0,1355.5085786199052,276.18428642610655,44.0,1201.6026431371722,1352.5196836027808,1502.684905590444,8352.0
R_finishedsquarefeet6,90149.0,2287.510172564025,447.67177964962417,233.2391967948409,1988.2544889640928,2285.0191344435225,2584.6930761363806,7224.0
R_fireplacecnt,90149.0,1.1871324842810975,0.21405119099823067,0.559325261624433,1.0463303980619192,1.1715829551377899,1.2849120753395453,5.0
R_fullbathcnt,90149.0,2.24126458946,0.9573989958924086,1.0,2.0,2.0,3.0,20.0
R_garagecarcnt,90149.0,1.8121883214365189,0.3841938386954274,0.0,1.687453819958907,1.8766487033642512,2.0,24.0
R_garagetotalsqft,90149.0,345.22367983273995,168.5450191472615,0.0,277.85144972192654,360.0,438.0,7339.0
R_latitude,90149.0,34005462.91663801,264979.706042455,33339295.0,33811655.0,34021522.0,34172775.0,34816009.0
R_longitude,90149.0,-118198886.28052446,360631.3710356166,-119447865.0,-118411699.0,-118173431.0,-117921588.0,-117554924.0
R_lotsizesquarefeet,90149.0,29143.831831665797,115445.00958751536,-103469.49307245997,5686.0,7382.0,15487.0,6971010.0
R_poolcnt,90149.0,1.0000004507153952,0.0008967509674968097,0.9953485592953886,0.9995075001262774,1.0,1.0004909740619425,1.004513737161807
R_poolsizesum,90149.0,519.3169883639082,52.05389685115633,28.0,485.48809934336333,519.1497382493859,553.1981821993347,1750.0
R_roomcnt,90149.0,1.4785965457187544,2.8198131396042916,0.0,0.0,0.0,0.0,18.0
R_threequarterbathnbr,90149.0,1.008433039732749,0.047187943229332716,0.8704113517894884,0.9907515814794831,1.0023285613473178,1.0260797762001215,4.0
R_unitcnt,90149.0,1.1105647383953487,0.6584026339653194,0.06672433607246664,1.0,1.0,1.0550421160410384,143.0
R_yardbuildingsqft17,90149.0,310.4561688368613,77.47397018681804,25.0,262.08731577407514,309.6851500603946,357.2072726698198,2678.0
R_yardbuildingsqft26,90149.0,312.36938243954705,132.82681609479923,-244.76387386921246,222.7901025396478,312.7904004701358,401.97756966363437,1366.0
R_numberofstories,90149.0,1.4410396711320905,0.30080937612651193,0.714939926020101,1.2636721590514868,1.4304566302799497,1.5856164468875005,4.0
R_starturetaxvaluedollarcnt,90149.0,180083.41326148962,208686.1990966077,-34364.62642801126,81429.0,132344.0,210659.0,9948100.0
R_taxvaluedollarcnt,90149.0,457635.55081980507,554853.1572261676,22.0,199056.0,342931.0,540589.0,27750000.0
R_landtaxvaluedollarcnt,90149.0,278288.70833873213,400504.17686209583,22.0,82285.0,193000.0,345398.0,24500000.0
R_taxamount,90149.0,5983.076942774773,6838.349068150283,49.08,2873.28,4543.12,6900.3,321936.09
R_logerror,90149.0,0.011526542723712398,0.16096830208514898,-4.605,-0.0253,0.006,0.0392,4.737
