,parcelid,basementsqft,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,garagetotalsqft,latitude,longitude,lotsizesquarefeet,poolsizesum,yardbuildingsqft17,yardbuildingsqft26,structuretaxvaluedollarcnt,taxvaluedollarcnt,landtaxvaluedollarcnt,taxamount,bathroomcnt,bedroomcnt,calculatedbathnbr,fireplacecnt,fullbathcnt,garagecarcnt,roomcnt,threequarterbathnbr,unitcnt,numberofstories,poolcnt,logerror
parcelid,1.0,0.03126669490380612,0.45746995090535125,0.013542662118206414,0.044255233276712796,0.031669806737193884,-0.07002176410309342,0.4547773252147187,0.026128696642279944,0.4132882739180074,-0.2402838682838733,-0.018132036952347257,-0.08650731859915185,0.1686613288467124,0.2548124644487712,0.03628199386163282,0.008243761207655492,0.003824862134554241,0.000996979698632419,-0.03072697684260152,-0.014073010901404535,0.0049714382622064535,-0.018750429266753785,0.4075028693179509,-0.07261515310048501,0.5656171890052206,0.48561759933056187,0.32085168363110006,-0.4918323603740947,0.489886276068938,-0.0803758276252028,0.004837368474981968
basementsqft,0.03126669490380612,1.0,0.08581257142702259,0.0197384260015899,0.021161337479270934,-0.00035609156228816796,-0.0034429551520373677,0.09255319939982924,-0.0011034151540674432,0.03186850582310867,0.017260772286224642,-0.04224802467714032,-0.0005277824498388518,0.03680693179774037,0.06609417439186546,0.05322947026915861,0.023882789587222293,0.014421149857153134,0.00751621601479455,0.010616586327095064,0.018908136990528842,0.01006045833510679,0.018200991923381638,0.06482380497659893,0.014171331441355626,0.02882770623018804,0.04070257678516253,0.025806374354893656,-0.021314201906213262,0.03690646628463424,0.0033949931537926178,0.009018443592324845
finishedfloor1squarefeet,0.45746995090535125,0.08581257142702259,1.0,0.12023279313335149,0.1438733086558766,-0.004882892708881055,-0.046222156514215074,0.9958546086414972,-0.015130540516180633,0.3708318787184171,0.22809548788933195,-0.5523915815065726,-0.024618143399607398,0.47772131704595694,0.5606860723654443,0.12549284385052936,0.08802398650619904,0.031273024761887425,-0.002610342343536216,0.0005751051688917911,0.07130145018998106,0.09851746068221537,0.07117163937817551,0.6289935427414524,0.04398750848150116,0.3805197833111154,0.4958746001596247,0.16982072373830512,-0.2918748549138181,0.4529926170588746,0.007998353004757252,0.012481122800125364
calculatedfinishedsquarefeet,0.013542662118206414,0.0197384260015899,0.12023279313335149,1.0,0.8395251216499399,-0.007066289983358933,0.2162043923143874,0.12014244037657465,0.08368381928818194,0.3080733230751108,0.006156627199237262,-0.01939657213704384,-0.03675512643173318,0.11669036808876194,0.07280521324616407,0.02751294905597815,0.6998327083288797,0.5885162130011824,0.4501500519681561,0.573456770862554,0.7790912507029336,0.6439035569744225,0.7600667121811165,0.14388141566388368,0.7414947522229935,0.1660100747498173,0.10393241466353167,0.16946700500013454,0.02867209597064538,0.0707690888779016,0.22807456526007786,0.03901082724058905
finishedsquarefeet12,0.044255233276712796,0.021161337479270934,0.1438733086558766,0.8395251216499399,1.0,-0.03265199847614368,-0.31570353887362346,0.1436392985631736,-0.10117821859532902,0.3543124753522726,0.013234406459615116,-0.0123107025235972,-0.019536053212437815,0.12394649457596554,0.085754993836981,0.028292881058809165,0.674430731012293,0.5604616886640028,0.42453769696309634,0.538357780912916,0.6608421310606237,0.4705804836772746,0.6572615915848329,0.17173255680565871,0.6310615625869835,0.2279187024202009,0.15120450033847596,0.20645244866648002,-0.18400499785707441,0.0967786834559083,0.2697571160948581,0.0395554549622041
finishedsquarefeet13,0.031669806737193884,-0.00035609156228816796,-0.004882892708881055,-0.007066289983358933,-0.03265199847614368,1.0,-0.003514772095307984,-0.004856236626129139,-0.0011264314002962376,-0.00976759763069916,0.016813644227831808,-0.045989205726650446,-0.0036087535567488073,-0.0019027070341637883,-0.0007607866961588247,-0.00041577636834975724,-0.01141853806138507,-0.008899935168177168,-0.006371590821334589,-0.010881684758377136,-0.04051892964104984,-0.047848360936826304,-0.056012980792497294,-0.00640651911077284,-0.055866019319364905,-0.010273883926601812,-0.00782345550351713,-0.005723533406596531,-0.02175879695945496,-0.010038896977133106,-0.009482243460940554,0.003695818933220994
finishedsquarefeet15,-0.07002176410309342,-0.0034429551520373677,-0.046222156514215074,0.2162043923143874,-0.31570353887362346,-0.003514772095307984,1.0,-0.04597531833431342,-0.010891167339478468,-0.09449134063151761,0.008204704429623302,-0.02833669554394913,-0.027297963524570333,-0.018396771167410852,-0.025793806441350396,-0.002610390921099446,0.005071756076852043,0.006429762685636103,0.006261505322741339,0.020413134592732314,0.21640539215790247,0.3349581792914758,0.20634171186460876,-0.05832828450997797,0.22136613423622278,-0.12421894282735409,-0.09586697856590964,-0.07192683925451299,0.37178190697615593,-0.0949038659112318,-0.0841438609412153,5.142730756512709e-05
finishedsquarefeet50,0.4547773252147187,0.09255319939982924,0.9958546086414972,0.12014244037657465,0.1436392985631736,-0.004856236626129139,-0.04597531833431342,1.0,-0.015047941744458398,0.3686304690034037,0.2273254685787385,-0.5499618959073973,-0.02420051406377766,0.4756803187981442,0.559005352399961,0.13508421179846455,0.08804278621177943,0.031793953056940015,-0.0018984095178273064,0.0012081383921269504,0.07139773893001061,0.09783228535968341,0.0712575140630336,0.6257946067838852,0.04415076233417471,0.3784413646873465,0.49332449686305513,0.1693612923250391,-0.29028368290032586,0.45031951666879755,0.00805534651917423,0.01218275602894028
finishedsquarefeet6,0.026128696642279944,-0.0011034151540674432,-0.015130540516180633,0.08368381928818194,-0.10117821859532902,-0.0011264314002962376,-0.010891167339478468,-0.015047941744458398,1.0,-0.03009436232570807,-0.06415111931266963,0.051791566750306293,-0.008434327053850783,-0.005895887455890871,-0.0083834115979041,-0.0012883594954948873,0.007497601804025896,0.035721874322793494,0.045579586160808754,0.03673678844427893,-0.10015012966725713,-0.1164414087457333,-0.14863060735166722,-0.007232964850730389,-0.14716980513091601,-0.0066217904503540655,0.0015432215178307104,-0.02197827979166882,0.08684124612296855,0.11769092637263354,-0.02177268776130339,-0.010001512177276932
garagetotalsqft,0.4132882739180074,0.03186850582310867,0.3708318787184171,0.3080733230751108,0.3543124753522726,-0.00976759763069916,-0.09449134063151761,0.3686304690034037,-0.03009436232570807,1.0,-0.32239611639819243,0.14431373680840562,-0.0696971602922804,0.21611649256651133,0.23218211904667185,0.05204554837916003,0.18409413683955403,0.1700488451688258,0.1395248187880185,0.12072475148362088,0.20055875409629856,0.2502305981276079,0.19978711537091773,0.5072972456229252,0.1346329730191825,0.816162776967278,0.7073588599836186,0.40175048793412826,-0.5848094905342311,0.6370181516932446,0.07707234599273713,0.00889054405819052
